# Force coefficients
# liftDir           : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# dragDir           : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# magUInf           : 1.000000000000e+00
# lRef              : 1.000000000000e+00
# Aref              : 1.000000000000e+00
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              	Cm                  	Cd                  	Cl                  	Cl(f)               	Cl(r)               
0.2134              	-2.652305825858e-05	1.654496042797e+00	-1.987555503571e-05	-3.646083577644e-05	1.658528074072e-05
0.2156              	-2.673572034975e-05	1.650975054678e+00	2.735566970769e-05	-1.305788549590e-05	4.041355520359e-05
0.2178              	-2.696162369837e-05	1.646934253819e+00	7.699187286473e-05	1.153431273399e-05	6.545756013074e-05
0.22                	-2.714845870233e-05	1.643327907082e+00	-1.631618481167e-05	-3.530655110817e-05	1.899036629649e-05
0.2222              	-2.736483933908e-05	1.639971039376e+00	5.254945498666e-05	-1.090111845751e-06	5.363956683241e-05
0.2244              	-2.754442925732e-05	1.636506683857e+00	-2.743699436851e-05	-4.126292644158e-05	1.382593207307e-05
0.2266              	-2.774839746905e-05	1.632962580011e+00	9.781320616747e-05	2.115820561469e-05	7.665500055278e-05
0.2288              	-2.792393888508e-05	1.629362724024e+00	-2.655987312128e-05	-4.120387544571e-05	1.464400232444e-05
0.231               	-2.810960827696e-05	1.626316626009e+00	1.333181835235e-05	-2.144369910078e-05	3.477551745313e-05
0.2332              	-2.827928145574e-05	1.623279691250e+00	-1.066633607368e-05	-3.361244949257e-05	2.294611341890e-05
0.2354              	-2.846145020579e-05	1.619917002116e+00	4.055444144826e-05	-8.184229481656e-06	4.873867092992e-05
0.2376              	-2.863003802645e-05	1.616380696698e+00	3.520355319545e-05	-1.102826142872e-05	4.623181462417e-05
0.2398              	-2.880245841420e-05	1.613142775527e+00	4.798105226926e-05	-4.811932279572e-06	5.279298454883e-05
0.242               	-2.895078595439e-05	1.609802117808e+00	-2.902101052097e-05	-4.346129121488e-05	1.444028069391e-05
0.2442              	-2.912210114944e-05	1.607020727582e+00	8.274877512395e-05	1.225228641254e-05	7.049648871141e-05
0.2464              	-2.926335965491e-05	1.603420763399e+00	-3.201723830605e-05	-4.527197880793e-05	1.325474050188e-05
0.2486              	-2.942638762671e-05	1.600363540783e+00	7.546167100349e-05	8.304447875035e-06	6.715722312846e-05
0.2508              	-2.957073821195e-05	1.596622474471e+00	2.822720944938e-05	-1.545713348726e-05	4.368434293664e-05
0.253               	-2.971191066088e-05	1.593204086039e+00	3.110679090277e-05	-1.415851520949e-05	4.526530611227e-05
0.2552              	-2.983813665237e-05	1.590668300301e+00	5.888050114036e-07	-2.954373414667e-05	3.013253915807e-05
0.2574              	-2.997229741054e-05	1.587500079008e+00	6.095810130370e-05	5.067532413119e-07	6.045134806238e-05
0.2596              	-3.009675581158e-05	1.584363996572e+00	3.464350734728e-05	-1.277500213794e-05	4.741850948522e-05
0.2618              	-3.022250359013e-05	1.580907917478e+00	4.490262280641e-05	-7.771192186925e-06	5.267381499333e-05
0.264               	-3.033239806222e-05	1.578431906735e+00	-8.294565214118e-07	-3.074712632292e-05	2.991766980151e-05
0.2662              	-3.044301349530e-05	1.575858561027e+00	3.670690626787e-05	-1.208956036137e-05	4.879646662923e-05
0.2684              	-3.054781600943e-05	1.573333489833e+00	2.047518017658e-05	-2.031022592114e-05	4.078540609773e-05
